time(millisecond),timestamp,height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,height_above_takeoff(meters)
0,2026-01-07 12:28:01,Available with any HD 360 subscription,Available with any HD 360 subscription,721.21394696336,0.328084,0.0,0.0,0.0,16,5,0.0,721.21394696336,0.0,0.0,0.0,0.0,0.0,0.0,315.0,2.2,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,94,4.024,4.036,0,0,0,0,0.0,66.02,721.21394696336,0.0,41,Motors_Started,SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Gimbal stuck. Make sure gimbal cover is removed and manually check whether gimbal can rotate freely (Code: 40002),0.0
100,2026-01-07 12:28:01,,,721.21394696336,0.328084,0.0,0.0133501972776,0.0133501972776,16,5,0.0,721.21394696336,0.0,0.0,0.0133501972776,0.0,0.0,0.0,315.0,2.2,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,94,4.024,4.036,0,0,0,0,0.0,66.02,721.21394696336,0.0,41,Motors_Started,SD card speed low. Normal use may be affected. Replace SD card (Code: 40112),0.0
200,2026-01-07 12:28:01,,,721.21394696336,0.328084,0.0,0.033284777968,0.033374672984,16,5,0.0,721.21394696336,0.0,0.0,0.033284777968,0.0,0.0,0.0,315.0,2.2,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,94,4.024,4.036,0,0,0,0,0.0,66.02,721.21394696336,0.0,41,Motors_Started,Setting new Return-To-Home altitude to 500m (1640 ft). Data Recorder File Index is 26. Setting new Maximum Flight Altitude to 500m (1640 ft),0.0
300,2026-01-07 12:28:01,,,721.21394696336,0.328084,0.0,0.061518046588,0.06982611772,16,5,0.0,721.21394696336,0.0,0.0,0.061518046588,0.0,0.0,0.0,315.0,2.2,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,94,4.024,4.036,0,0,0,0,0.0,66.02,721.21394696336,0.0,41,Motors_Started,,0.0
400,2026-01-07 12:28:01,,,721.21394696336,0.328084,0.0,0.078508204612,0.087012141892,16,5,0.0,721.21394696336,0.0,0.0,0.078508204612,0.0,0.0,0.0,314.9,2.2,0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,94,4.024,4.036,0,0,0,0,0.0,66.02,721.21394696336,0.0,41,Motors_Started,,0.0
500,2026-01-07 12:28:01,,,721.21394696336,0.328084,0.0,0.090046918892,0.10077592186,16,5,0.0,721.21394696336,0.0,0.0,0.090046918892,0.0,0.0,0.0,315.1,2.1,0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,94,4.024,4.036,0,0,0,0,0.0,66.02,721.21394696336,0.0,41,Motors_Started,,0.0
600,2026-01-07 12:28:01,,,721.21394696336,0.328084,0.0,0.101396328704,0.11843996442,16,5,0.0,721.21394696336,0.0,0.0,0.101396328704,0.0,0.0,0.0,315.4,2.1,0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,94,4.024,4.036,0,0,0,0,0.0,66.02,721.21394696336,0.0,41,Motors_Started,,0.0
700,2026-01-07 12:28:01,,,721.21394696336,0.328084,0.0,0.114492129648,0.131717851984,16,5,0.0,721.21394696336,0.0,0.0,0.114492129648,0.0,0.0,0.0,315.6,2.2,0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,94,4.024,4.036,0,0,0,0,0.0,66.02,721.21394696336,0.0,41,Motors_Started,,0.0
800,2026-01-07 12:28:01,,,721.21394696336,0.328084,0.0,0.117560043132,0.141943246012,16,5,0.0,721.21394696336,0.0,0.0,0.117560043132,0.0,0.0,0.0,315.6,2.2,0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,94,4.024,4.036,0,0,0,0,0.0,66.02,721.21394696336,0.0,41,Motors_Started,,0.0
900,2026-01-07 12:28:01,,,721.21394696336,0.328084,0.0,0.137451776052,0.161837603604,16,5,0.0,721.21394696336,0.0,0.0,0.137451776052,0.0,0.0,0.0,315.6,2.2,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,94,4.024,4.036,0,0,0,0,0.0,66.02,721.21394696336,0.0,41,Motors_Started,,0.0
