time(millisecond),timestamp,altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,height_above_takeoff(meters)
282700,2026-01-09 12:41:47,720.81025010005,0.656168,0.0,0.0,0.0,17,5,0.0,720.81025010005,0.0,0.0,0.0,0.0,0.0,0.0,25.1,1.3,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.0,72.32,720.81025010005,0.0,41,Motors_Started,SD card speed low SD card speed low. Normal use may be affected. Replace SD card (Code: 10028). Gimbal stuck. Make sure gimbal cover is removed and manually check whether gimbal can rotate freely (Code: 40002),0.0
282800,2026-01-09 12:41:47,720.81025010005,0.656168,0.0,0.0175655517432,0.0175655517432,17,5,0.0,720.81025010005,0.0,0.0,0.0175655517432,0.0,0.0,0.0,25.1,1.3,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.0,72.32,720.81025010005,0.0,41,Motors_Started,,0.0
282900,2026-01-09 12:41:47,720.81025010005,0.328084,0.0,0.0315920613784,0.031602363216,18,5,0.0,720.81025010005,0.0,0.0,0.0315920613784,0.0,0.0,0.0,25.1,1.3,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.0,72.32,720.81025010005,0.0,41,Motors_Started,,0.0
283000,2026-01-09 12:41:47,720.81025010005,0.328084,0.0,0.053625001716,0.054084975484,18,5,7.896,720.81025010005,0.0,0.0,0.053625001716,0.0,0.0,0.0,25.1,1.2,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.672,72.32,720.81025010005,0.0,41,Motors_Started,,0.0
283100,2026-01-09 12:41:47,720.81025010005,0.328084,0.0,0.056103676336,0.056991143556,18,5,7.896,720.81025010005,0.0,0.0,0.056103676336,0.0,0.0,0.0,25.2,1.3,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.672,72.32,720.81025010005,0.0,41,Motors_Started,,0.0
283200,2026-01-09 12:41:47,720.81025010005,0.328084,0.0,0.054494096232,0.059928151524,18,5,7.896,720.81025010005,0.0,0.0,0.056103676336,0.0,0.0,0.0,25.2,1.2,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.672,72.32,720.81025010005,0.0,41,Motors_Started,,0.0
283300,2026-01-09 12:41:47,720.81025010005,0.328084,0.0,0.057909122588,0.066746393212,18,5,7.896,720.81025010005,0.0,0.0,0.057909122588,0.0,0.0,0.0,25.2,1.3,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.672,72.32,720.81025010005,0.0,41,Motors_Started,Setting new Return-To-Home altitude to 90m (295 ft). Data Recorder File Index is 31. Setting new Maximum Flight Altitude to 90m (295 ft),0.0
283400,2026-01-09 12:41:47,720.81025010005,0.328084,0.0,3.00320219584,0.117659452584,18,5,7.896,720.81025010005,0.0,0.0,3.00320219584,0.0,0.0,0.0,25.2,1.3,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.672,72.32,720.81025010005,0.0,41,Motors_Started,,0.0
283500,2026-01-09 12:41:48,720.81025010005,0.328084,0.0,3.0219653198,0.13695210412,18,5,7.896,720.81025010005,0.0,0.0,3.0219653198,0.0,0.0,0.0,25.2,1.3,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.672,72.32,720.81025010005,0.0,41,Motors_Started,,0.0
283600,2026-01-09 12:41:48,720.81025010005,0.328084,0.0,3.0292323804,0.144911750044,18,5,7.896,720.81025010005,0.0,0.0,3.0292323804,0.0,0.0,0.0,25.1,1.2,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.672,72.32,720.81025010005,0.0,41,Motors_Started,,0.0
283700,2026-01-09 12:41:48,720.81025010005,0.328084,0.0,3.03459327296,0.151208338172,17,5,7.896,720.81025010005,0.0,0.0,3.03459327296,0.0,0.0,0.0,25.1,1.3,0.9,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.672,72.32,720.81025010005,0.0,41,Motors_Started,,0.0
283800,2026-01-09 12:41:48,720.81025010005,0.328084,0.0,3.03486558268,0.153683403868,17,5,7.896,720.81025010005,0.0,0.0,3.03486558268,0.0,0.0,0.0,25.1,1.3,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.672,72.32,720.81025010005,0.0,11,AutoTakeoff,,0.0
283900,2026-01-09 12:41:48,720.81025010005,0.328084,0.0,3.01234261608,0.176695543712,17,5,7.896,720.81025010005,0.0,0.0,3.03486558268,0.0,0.0,0.0,25.2,1.3,0.8,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,81,3.948,3.945,0,0,0,0,0.672,72.32,720.81025010005,0.0,11,AutoTakeoff,,0.0
284000,2026-01-09 12:41:48,720.81025010005,0.328084,0.0,3.01734261624,0.198548562784,17,5,7.896,720.81025010005,0.0,0.0,3.03486558268,0.0,0.0,0.0,25.2,1.3,0.8,0,0,1024,1024,1545,1024,0,0,79,0,0,0,0,81,3.948,3.945,0,0,0,0,0.672,72.32,720.81025010005,0.0,11,AutoTakeoff,,0.0
284100,2026-01-09 12:41:48,720.81025010005,0.328084,0.0,3.02520022804,0.219867461104,17,5,7.891,720.81025010005,0.0,0.0,3.03486558268,0.0,0.0,0.0,25.2,1.3,0.8,0,0,1024,1024,1684,1024,0,0,100,0,0,0,0,81,3.949,3.942,0,0,0,0,1.37,72.5,720.81025010005,0.0,11,AutoTakeoff,,0.0
284200,2026-01-09 12:41:48,720.81025010005,0.328084,0.0,3.0417979976,0.243495086532,17,5,7.891,720.81025010005,0.0,0.0,3.0417979976,0.0,0.0,0.0,25.1,1.3,0.8,0,0,1024,1024,1684,1024,0,0,100,0,0,0,0,81,3.949,3.942,0,0,0,0,1.37,72.5,720.81025010005,0.0,11,AutoTakeoff,,0.0
284300,2026-01-09 12:41:48,720.81025010005,0.328084,0.0,3.07185377284,0.314794629496,17,5,7.891,720.81025010005,0.0,0.0,3.07185377284,0.0,0.0,0.0,25.2,1.3,0.8,0,0,1024,1024,1684,1024,0,0,100,0,0,0,0,81,3.949,3.942,0,0,0,0,1.37,72.5,720.81025010005,0.0,11,AutoTakeoff,,0.0
284400,2026-01-09 12:41:48,720.81025010005,0.328084,0.0,3.07838264444,0.32145506278,17,5,7.891,720.81025010005,0.0,0.0,3.07838264444,0.0,0.0,0.0,25.7,1.7,0.5,0,0,1024,1024,1684,1024,0,0,100,0,0,0,0,81,3.949,3.942,0,0,0,0,1.37,72.5,720.81025010005,0.0,11,AutoTakeoff,,0.0
284500,2026-01-09 12:41:49,720.81025010005,0.328084,0.0,3.08679143736,0.3301837376,17,5,7.891,720.81025010005,0.0,0.0,3.08679143736,0.0,0.0,0.0,26.2,3.7,1.1,0,0,1024,1024,1684,1024,0,0,100,0,0,0,0,81,3.949,3.942,0,0,0,0,1.37,72.5,720.81025010005,0.0,11,AutoTakeoff,,0.0
284600,2026-01-09 12:41:49,720.81025010005,0.328084,0.0,3.1060040364,0.35057743904,17,5,7.891,720.81025010005,0.0,0.0,3.1060040364,0.0,0.0,-0.223694,26.6,4.3,1.4,0,0,1024,1024,1684,1024,0,0,100,0,0,0,0,81,3.949,3.942,0,0,0,0,1.37,72.5,720.81025010005,0.0,11,AutoTakeoff,,0.0
284700,2026-01-09 12:41:49,720.81025010005,0.328084,0.447388,3.14718185924,0.39594161372,17,5,7.891,720.81025010005,0.0,0.447388,3.14718185924,-0.447388,0.0,-0.447388,26.7,3.4,0.4,0,0,1024,1024,1684,1024,0,0,100,0,0,0,0,81,3.949,3.942,0,0,0,0,1.37,72.5,720.81025010005,0.0,11,AutoTakeoff,,0.0
