index,time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
72,157200,2026-01-11 15:32:36,0.0,5,7.674,0.0,0.0,-4.250186,23.6,3.9,-1.5,1024,1024,1024,1024,0,0,0,0,87,5.588,61.88,32.480316,P-GPS,,9.9
73,157300,2026-01-11 15:32:36,0.223694,5,7.674,-0.223694,0.0,-4.250186,23.7,3.0,-1.6,1024,1024,1024,1024,0,0,0,0,87,5.588,61.88,33.136484,P-GPS,,10.1
74,157400,2026-01-11 15:32:36,0.223694,5,7.674,-0.223694,0.0,-4.250186,23.8,1.6,-2.1,1024,1024,1024,1024,0,0,0,0,87,5.588,61.88,34.120736,P-GPS,,10.4
75,157500,2026-01-11 15:32:37,0.0,5,7.674,0.0,0.0,-3.802798,23.7,2.2,-2.1,1024,1024,1024,1024,0,0,0,0,87,5.588,61.88,34.776904,P-GPS,,10.6
76,157600,2026-01-11 15:32:37,0.0,5,7.674,0.0,0.0,-3.131716,23.7,1.7,-2.1,1024,1024,1024,1024,0,0,0,0,87,5.588,61.88,35.433072,P-GPS,,10.8
77,157700,2026-01-11 15:32:37,0.0,5,7.674,0.0,0.0,-2.460634,23.6,1.8,-2.7,1024,1024,1024,1024,0,0,0,0,87,5.588,61.88,35.761156,P-GPS,,10.9
78,157800,2026-01-11 15:32:37,0.0,5,7.674,0.0,0.0,-1.565858,23.3,2.9,-4.1,1024,1024,1024,1024,0,0,0,0,87,5.588,61.88,36.417324,P-GPS,,11.1
79,157900,2026-01-11 15:32:37,0.0,5,7.674,0.0,0.0,-0.894776,23.3,3.1,-4.4,1024,1024,1024,1024,0,0,0,0,87,5.588,61.88,36.745408,P-GPS,,11.2
80,158000,2026-01-11 15:32:37,0.3131716,5,7.674,-0.223694,0.223694,-0.447388,23.3,2.6,-4.4,1024,1024,1024,1024,0,0,0,0,87,5.588,61.88,37.073492,P-GPS,,11.3
81,158100,2026-01-11 15:32:37,0.223694,5,7.804,-0.223694,0.0,-0.223694,23.3,3.0,-4.7,1024,1024,1024,1024,0,0,0,0,87,4.185,62.06,37.073492,P-GPS,,11.3
82,158200,2026-01-11 15:32:37,0.223694,5,7.804,-0.223694,0.0,0.0,23.4,2.9,-4.8,1024,1024,1024,1024,0,0,0,0,87,4.185,62.06,37.401576,P-GPS,,11.4
83,158300,2026-01-11 15:32:37,0.223694,5,7.804,-0.223694,0.0,0.0,23.5,1.7,-5.1,1024,1024,1024,1024,0,0,0,0,87,4.185,62.06,37.401576,P-GPS,,11.4
