time(millisecond),timestamp,speed(mph),gpslevel,voltage(v),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),battery_percent,current(A),battery_temperature(f),ascent(feet),flycState,message,height_above_takeoff(meters)
44200,2026-01-09 20:07:15,0.0,5,7.693,0.0,0.0,-4.250186,5.8,4.1,-0.9,1024,1024,1684,1024,0,0,100,0,95,5.893,63.86,92.519688,P-GPS,,28.2
44300,2026-01-09 20:07:15,0.0,5,7.693,0.0,0.0,-4.250186,5.8,3.7,-1.0,1024,1024,1684,1024,0,0,100,0,95,5.893,63.86,93.175856,P-GPS,,28.4
44400,2026-01-09 20:07:15,0.0,5,7.693,0.0,0.0,-4.250186,5.8,3.4,-0.7,1024,1024,1684,1024,0,0,100,0,95,5.893,63.86,93.832024,P-GPS,,28.6
44500,2026-01-09 20:07:15,0.0,5,7.693,0.0,0.0,-4.250186,5.9,3.1,-0.5,1024,1024,1684,1024,0,0,100,0,95,5.893,63.86,94.488192,P-GPS,,28.8
44600,2026-01-09 20:07:15,0.0,5,7.693,0.0,0.0,-4.250186,5.9,3.2,-0.4,1024,1024,1684,1024,0,0,100,0,95,5.893,63.86,95.14436,P-GPS,,29.0
44700,2026-01-09 20:07:15,0.0,5,7.693,0.0,0.0,-4.250186,5.9,3.4,-0.3,1024,1024,1684,1024,0,0,100,0,95,5.893,63.86,95.800528,P-GPS,,29.2
44800,2026-01-09 20:07:15,0.0,5,7.69,0.0,0.0,-4.250186,5.9,3.7,-0.2,1024,1024,1024,1024,0,0,0,0,95,5.857,64.04,96.456696,P-GPS,,29.4
44900,2026-01-09 20:07:15,0.0,5,7.69,0.0,0.0,-4.250186,5.9,3.6,-0.1,1024,1024,1024,1024,0,0,0,0,95,5.857,64.04,97.112864,P-GPS,,29.6
45000,2026-01-09 20:07:16,0.0,5,7.69,0.0,0.0,-4.250186,6.0,3.4,0.0,1024,1024,1024,1024,0,0,0,0,95,5.857,64.04,97.769032,P-GPS,,29.8
45100,2026-01-09 20:07:16,0.0,5,7.69,0.0,0.0,-4.250186,6.0,3.2,0.2,1024,1024,1024,1024,0,0,0,0,95,5.857,64.04,98.4252,P-GPS,,30.0
45200,2026-01-09 20:07:16,0.0,5,7.69,0.0,0.0,-3.802798,6.0,3.9,0.3,1024,1024,1024,1024,0,0,0,0,95,5.857,64.04,99.081368,P-GPS,,30.2
45300,2026-01-09 20:07:16,0.0,5,7.69,0.0,0.0,-3.131716,6.0,4.0,0.3,1024,1024,1024,1024,0,0,0,0,95,5.857,64.04,99.737536,P-GPS,,30.4
45400,2026-01-09 20:07:16,0.0,5,7.69,0.0,0.0,-2.460634,6.0,4.2,0.1,1024,1024,1024,1024,0,0,0,0,95,5.857,64.04,100.06562,P-GPS,,30.5
45500,2026-01-09 20:07:16,0.0,5,7.69,0.0,0.0,-1.565858,6.0,4.5,0.0,1024,1024,1024,1024,0,0,0,0,95,5.857,64.04,100.393704,P-GPS,,30.6
45600,2026-01-09 20:07:16,0.0,5,7.69,0.0,0.0,-0.894776,5.9,4.7,-0.1,1024,1024,1024,1024,0,0,0,0,95,5.857,64.04,100.721788,P-GPS,,30.7
45700,2026-01-09 20:07:16,0.0,5,7.69,0.0,0.0,-0.223694,5.9,4.6,-0.2,1024,1024,1024,1024,0,0,0,0,95,5.857,64.04,100.721788,P-GPS,,30.7
45800,2026-01-09 20:07:16,0.0,5,7.69,0.0,0.0,0.0,5.9,4.7,-0.3,1024,1024,1024,1024,0,0,0,0,95,5.857,64.04,100.721788,P-GPS,,30.7
45900,2026-01-09 20:07:16,0.0,5,7.822,0.0,0.0,0.0,5.9,4.8,-0.6,1024,1024,1024,1024,0,0,0,0,95,4.253,64.04,100.721788,P-GPS,,30.7
46000,2026-01-09 20:07:16,0.0,5,7.822,0.0,0.0,0.0,5.9,5.1,-0.8,1024,1024,1024,1024,0,0,0,0,95,4.253,64.04,101.049872,P-GPS,,30.8
46100,2026-01-09 20:07:17,0.0,5,7.822,0.0,0.0,0.0,5.8,5.1,-0.8,1024,1024,1024,1024,0,0,0,0,95,4.253,64.04,101.049872,P-GPS,,30.8
46200,2026-01-09 20:07:17,0.0,5,7.822,0.0,0.0,0.0,5.8,5.1,-1.1,1024,1024,1024,1024,0,0,0,0,95,4.253,64.04,101.049872,P-GPS,,30.8
46300,2026-01-09 20:07:17,0.0,5,7.822,0.0,0.0,0.0,5.8,5.0,-1.5,1024,1024,1024,1024,0,0,0,0,95,4.253,64.04,101.049872,P-GPS,,30.8
46400,2026-01-09 20:07:17,0.0,5,7.822,0.0,0.0,0.0,5.8,5.1,-1.7,1024,1024,1024,1024,0,0,0,0,95,4.253,64.04,101.049872,P-GPS,,30.8
46500,2026-01-09 20:07:17,0.0,5,7.822,0.0,0.0,0.0,5.8,4.7,-1.4,1024,1024,1024,1024,0,0,0,0,95,4.253,64.04,101.049872,P-GPS,,30.8
46600,2026-01-09 20:07:17,0.0,5,7.822,0.0,0.0,0.0,5.8,4.8,-1.0,1024,1024,1024,1024,0,0,0,0,95,4.253,64.04,101.049872,P-GPS,,30.8
46700,2026-01-09 20:07:17,0.0,5,7.822,0.0,0.0,0.0,5.9,4.5,-0.9,1024,1024,1024,1024,0,0,0,0,95,4.253,64.04,101.049872,P-GPS,,30.8
46800,2026-01-09 20:07:17,0.0,5,7.822,0.0,0.0,0.0,5.9,4.9,-0.7,1024,1024,1024,1024,0,0,0,0,95,4.253,64.04,101.049872,P-GPS,,30.8
46900,2026-01-09 20:07:17,0.0,5,7.822,0.0,0.0,0.0,5.9,4.7,-0.5,1024,1024,1024,1024,0,0,0,0,95,4.253,64.04,101.049872,P-GPS,,30.8
47000,2026-01-09 20:07:18,0.0,5,7.779,0.0,0.0,0.0,5.9,4.9,-0.4,1024,1024,1024,1024,0,0,0,0,95,4.55,64.04,101.049872,P-GPS,,30.8
47100,2026-01-09 20:07:18,0.0,5,7.779,0.0,0.0,0.0,5.9,4.9,-0.1,1024,1024,1024,1024,0,0,0,0,95,4.55,64.04,101.049872,P-GPS,,30.8
47200,2026-01-09 20:07:18,0.0,5,7.779,0.0,0.0,0.0,6.0,5.1,0.2,1024,1024,1024,1024,0,0,0,0,95,4.55,64.04,101.049872,P-GPS,,30.8
47300,2026-01-09 20:07:18,0.0,5,7.779,0.0,0.0,0.0,6.0,5.1,0.3,1024,1024,1024,1024,0,0,0,0,95,4.55,64.04,101.049872,P-GPS,,30.8
47400,2026-01-09 20:07:18,0.0,5,7.779,0.0,0.0,0.0,6.0,5.0,0.4,1024,1024,1024,1024,0,0,0,0,95,4.55,64.04,101.049872,P-GPS,,30.8
47500,2026-01-09 20:07:18,0.0,5,7.779,0.0,0.0,0.0,6.0,5.0,0.5,1024,1024,1024,1024,0,0,0,0,95,4.55,64.04,101.049872,P-GPS,,30.8
47600,2026-01-09 20:07:18,0.0,5,7.779,0.0,0.0,0.0,6.0,4.8,0.5,1024,1024,1024,1024,0,0,0,0,95,4.55,64.04,101.049872,P-GPS,,30.8
47700,2026-01-09 20:07:18,0.0,5,7.779,0.0,0.0,0.0,6.0,4.5,0.6,1024,1024,1024,1024,0,0,0,0,95,4.55,64.04,100.721788,P-GPS,,30.7
47800,2026-01-09 20:07:18,0.0,5,7.779,0.0,0.0,0.223694,6.0,4.2,0.6,1024,1024,1024,1024,0,0,0,0,95,4.55,64.04,100.721788,P-GPS,,30.7
47900,2026-01-09 20:07:18,0.0,5,7.779,0.0,0.0,0.223694,6.0,4.1,0.6,1024,1024,1024,1024,0,0,0,0,95,4.55,64.04,100.721788,P-GPS,,30.7
48000,2026-01-09 20:07:19,0.0,5,7.779,0.0,0.0,0.223694,6.0,3.5,0.8,1024,1024,1024,1024,0,0,0,0,95,4.55,64.04,100.721788,P-GPS,,30.7
48100,2026-01-09 20:07:19,0.0,5,7.782,0.0,0.0,0.0,6.0,3.3,0.8,1024,1024,1024,1024,0,0,0,0,95,4.465,64.22,100.721788,P-GPS,,30.7
48200,2026-01-09 20:07:19,0.0,5,7.782,0.0,0.0,0.0,5.9,3.5,0.8,1024,1024,1024,1024,0,0,0,0,95,4.465,64.22,100.721788,P-GPS,,30.7
48300,2026-01-09 20:07:19,0.0,5,7.782,0.0,0.0,0.0,5.9,3.5,0.9,1024,1024,1024,1024,0,0,0,0,95,4.465,64.22,100.721788,P-GPS,,30.7
48400,2026-01-09 20:07:19,0.0,5,7.782,0.0,0.0,0.0,6.0,3.6,1.1,1024,1024,1024,1024,0,0,0,0,95,4.465,64.22,100.721788,P-GPS,,30.7
48500,2026-01-09 20:07:19,0.0,5,7.782,0.0,0.0,0.0,6.0,4.0,1.5,1024,1024,1024,1024,0,0,0,0,95,4.465,64.22,100.393704,P-GPS,,30.6
48600,2026-01-09 20:07:19,0.0,5,7.782,0.0,0.0,0.0,6.0,4.0,1.3,1024,1024,1024,1024,0,0,0,0,95,4.465,64.22,100.393704,P-GPS,,30.6
48700,2026-01-09 20:07:19,0.0,5,7.782,0.0,0.0,0.0,6.0,4.1,1.2,1024,1024,1024,1024,0,0,0,0,95,4.465,64.22,100.393704,P-GPS,,30.6
48800,2026-01-09 20:07:19,0.0,5,7.782,0.0,0.0,0.0,5.9,3.9,1.0,1024,1024,1024,1024,0,0,0,0,95,4.465,64.22,100.393704,P-GPS,,30.6
48900,2026-01-09 20:07:19,0.0,5,7.782,0.0,0.0,0.0,5.9,3.6,0.6,1024,1024,1024,1024,0,0,0,0,95,4.465,64.22,100.393704,P-GPS,,30.6
49000,2026-01-09 20:07:20,0.0,5,7.782,0.0,0.0,0.0,5.9,3.5,0.3,1024,1024,1024,1024,0,0,0,0,95,4.465,64.22,100.393704,P-GPS,,30.6
49100,2026-01-09 20:07:20,0.0,5,7.782,0.0,0.0,0.0,5.9,3.4,0.3,1024,1024,1024,1024,0,0,0,0,95,4.465,64.22,100.06562,P-GPS,,30.5
49200,2026-01-09 20:07:20,0.0,5,7.773,0.0,0.0,0.0,5.9,3.4,0.1,1024,1024,1024,1024,0,0,0,0,94,4.55,64.22,100.06562,P-GPS,,30.5
49300,2026-01-09 20:07:20,0.0,5,7.773,0.0,0.0,0.0,5.8,3.2,-0.2,1024,1024,1024,1024,0,0,0,0,94,4.55,64.22,100.06562,P-GPS,,30.5
49400,2026-01-09 20:07:20,0.0,5,7.773,0.0,0.0,0.0,5.8,3.2,-0.2,1024,1024,1024,1024,0,0,0,0,94,4.55,64.22,100.06562,P-GPS,,30.5
49500,2026-01-09 20:07:20,0.0,5,7.773,0.0,0.0,0.0,5.8,3.0,0.0,1024,1024,1024,1024,0,0,0,0,94,4.55,64.22,100.06562,P-GPS,,30.5
49600,2026-01-09 20:07:20,0.0,5,7.773,0.0,0.0,0.0,5.8,2.9,0.0,1024,1024,1024,1024,0,0,0,0,94,4.55,64.22,100.06562,P-GPS,,30.5
49700,2026-01-09 20:07:20,0.0,5,7.773,0.0,0.0,0.0,5.9,2.8,0.1,1024,1024,1024,1024,0,0,0,0,94,4.55,64.22,100.06562,P-GPS,,30.5
49800,2026-01-09 20:07:20,0.0,5,7.773,0.0,0.0,0.0,5.9,3.1,0.0,1024,1024,1024,1024,0,0,0,0,94,4.55,64.22,100.06562,P-GPS,,30.5
49900,2026-01-09 20:07:20,0.0,5,7.773,0.0,0.0,0.0,5.9,3.4,0.1,1024,1024,1024,1024,0,0,0,0,94,4.55,64.22,100.06562,P-GPS,,30.5
50000,2026-01-09 20:07:20,0.0,5,7.773,0.0,0.0,0.0,5.9,3.7,-0.2,1024,1024,1024,1024,0,0,0,0,94,4.55,64.22,100.06562,P-GPS,,30.5
